timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1544572936636,733,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,409,1,4,http://localhost:8000/organiser/1/dashboard,730,0,1
1544572937370,1121,HTTP Request,200,OK,dashboard 1-1,text,true,,50543,932,1,4,http://localhost:8000/organiser/1/dashboard,1119,0,0
1544572938491,1214,HTTP Request,200,OK,dashboard 1-1,text,true,,50535,938,1,4,http://localhost:8000/organiser/1/dashboard,1212,0,1
1544572939705,1159,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,930,1,4,http://localhost:8000/organiser/1/dashboard,1157,0,1
1544572940865,1123,HTTP Request,200,OK,dashboard 1-1,text,true,,50539,932,1,4,http://localhost:8000/organiser/1/dashboard,1121,0,0
1544572941989,1197,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,934,1,4,http://localhost:8000/organiser/1/dashboard,1195,0,0
1544572943187,1153,HTTP Request,200,OK,dashboard 1-1,text,true,,50539,932,1,4,http://localhost:8000/organiser/1/dashboard,1151,0,0
1544572944340,1132,HTTP Request,200,OK,dashboard 1-1,text,true,,50535,934,1,4,http://localhost:8000/organiser/1/dashboard,1126,0,1
1544572945472,1175,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,930,1,4,http://localhost:8000/organiser/1/dashboard,1172,0,1
1544572946647,1195,HTTP Request,200,OK,dashboard 1-1,text,true,,50545,932,1,4,http://localhost:8000/organiser/1/dashboard,1192,0,0
1544572947842,1111,HTTP Request,200,OK,dashboard 1-1,text,true,,50541,940,1,4,http://localhost:8000/organiser/1/dashboard,1108,0,1
1544572948953,1115,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,936,1,4,http://localhost:8000/organiser/1/dashboard,1112,0,0
1544572950068,1074,HTTP Request,200,OK,dashboard 1-1,text,true,,50543,932,1,4,http://localhost:8000/organiser/1/dashboard,1071,0,1
1544572951142,1104,HTTP Request,200,OK,dashboard 1-1,text,true,,50535,938,1,4,http://localhost:8000/organiser/1/dashboard,1102,0,0
1544572952246,1121,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,930,1,4,http://localhost:8000/organiser/1/dashboard,1118,0,1
1544572953367,1084,HTTP Request,200,OK,dashboard 1-1,text,true,,50541,932,1,4,http://localhost:8000/organiser/1/dashboard,1082,0,1
1544572954451,1179,HTTP Request,200,OK,dashboard 1-1,text,true,,50543,936,1,4,http://localhost:8000/organiser/1/dashboard,1177,0,1
1544572955630,1138,HTTP Request,200,OK,dashboard 1-1,text,true,,50535,938,1,4,http://localhost:8000/organiser/1/dashboard,1136,0,1
1544572956768,1124,HTTP Request,200,OK,dashboard 1-1,text,true,,50539,930,1,4,http://localhost:8000/organiser/1/dashboard,1121,0,1
1544572957898,1090,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,934,1,4,http://localhost:8000/organiser/1/dashboard,1087,0,1
