timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1544572936651,1223,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19547,405,1,4,http://localhost:8000/event/2/tickets,1221,0,1
1544572937874,1157,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19541,934,1,4,http://localhost:8000/event/2/tickets,1156,0,1
1544572939032,1202,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19545,928,1,4,http://localhost:8000/event/2/tickets,1201,0,0
1544572940235,1154,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19541,932,1,4,http://localhost:8000/event/2/tickets,1152,0,0
1544572941389,1139,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19541,928,1,4,http://localhost:8000/event/2/tickets,1137,0,1
1544572942528,1175,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19545,928,1,4,http://localhost:8000/event/2/tickets,1173,0,1
1544572943703,1164,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19539,932,1,4,http://localhost:8000/event/2/tickets,1163,0,1
1544572944867,1134,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19541,926,1,4,http://localhost:8000/event/2/tickets,1132,0,1
1544572946001,1206,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19545,928,1,4,http://localhost:8000/event/2/tickets,1205,0,1
1544572947208,1168,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19541,932,1,4,http://localhost:8000/event/2/tickets,1166,0,0
1544572948376,1114,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19539,928,1,4,http://localhost:8000/event/2/tickets,1112,0,1
1544572949490,1079,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19541,926,1,4,http://localhost:8000/event/2/tickets,1076,0,1
1544572950569,1065,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19543,928,1,4,http://localhost:8000/event/2/tickets,1063,0,1
1544572951635,1143,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19545,930,1,4,http://localhost:8000/event/2/tickets,1142,0,0
1544572952778,1070,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19539,932,1,4,http://localhost:8000/event/2/tickets,1069,0,1
1544572953849,1100,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19543,926,1,4,http://localhost:8000/event/2/tickets,1098,0,0
1544572954949,1219,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19539,930,1,4,http://localhost:8000/event/2/tickets,1217,0,0
1544572956168,1136,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19541,926,1,4,http://localhost:8000/event/2/tickets,1134,0,1
1544572957304,1094,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19541,928,1,4,http://localhost:8000/event/2/tickets,1092,0,1
1544572958398,1114,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19539,928,1,4,http://localhost:8000/event/2/tickets,1113,0,0
1544572959512,1104,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19545,926,1,4,http://localhost:8000/event/2/tickets,1102,0,1
1544572960616,1107,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19547,932,1,4,http://localhost:8000/event/2/tickets,1106,0,1
1544572961724,1107,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19543,934,1,4,http://localhost:8000/event/2/tickets,1106,0,0
1544572962832,1114,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19549,930,1,4,http://localhost:8000/event/2/tickets,1113,0,0
1544572963946,1111,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19551,936,1,4,http://localhost:8000/event/2/tickets,1108,0,1
1544572965057,1127,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19541,938,1,4,http://localhost:8000/event/2/tickets,1125,0,1
1544572966184,1078,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19549,928,1,4,http://localhost:8000/event/2/tickets,1077,0,0
1544572967263,1144,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19545,936,1,4,http://localhost:8000/event/2/tickets,1143,0,0
1544572968407,1079,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19541,932,1,4,http://localhost:8000/event/2/tickets,1078,0,1
1544572969486,1100,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19547,928,1,4,http://localhost:8000/event/2/tickets,1098,0,1
1544572970586,1106,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19543,934,1,4,http://localhost:8000/event/2/tickets,1104,0,1
1544572971692,1169,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19541,930,1,4,http://localhost:8000/event/2/tickets,1167,0,1
1544572972861,1109,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19543,928,1,4,http://localhost:8000/event/2/tickets,1108,0,1
1544572973971,1102,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19543,930,1,4,http://localhost:8000/event/2/tickets,1099,0,0
1544572975073,1102,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19553,930,1,4,http://localhost:8000/event/2/tickets,1101,0,1
1544572976175,1158,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19539,940,1,4,http://localhost:8000/event/2/tickets,1156,0,1
1544572977333,1107,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19545,926,1,4,http://localhost:8000/event/2/tickets,1105,0,1
1544572978440,1108,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19547,932,1,4,http://localhost:8000/event/2/tickets,1107,0,1
1544572979549,1118,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19543,934,1,4,http://localhost:8000/event/2/tickets,1116,0,0
1544572980667,1096,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19537,930,1,4,http://localhost:8000/event/2/tickets,1095,0,1
1544572981764,1091,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19539,924,1,4,http://localhost:8000/event/2/tickets,1089,0,0
1544572982855,1111,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19537,926,1,4,http://localhost:8000/event/2/tickets,1110,0,1
1544572983967,1075,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19541,924,1,4,http://localhost:8000/event/2/tickets,1074,0,0
1544572985043,1140,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19543,928,1,4,http://localhost:8000/event/2/tickets,1138,0,0
1544572986183,1168,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19541,930,1,4,http://localhost:8000/event/2/tickets,1167,0,1
1544572987352,1116,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19537,928,1,4,http://localhost:8000/event/2/tickets,1114,0,0
1544572988468,1179,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19543,924,1,4,http://localhost:8000/event/2/tickets,1177,0,1
1544572989647,1178,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19541,930,1,4,http://localhost:8000/event/2/tickets,1176,0,1
1544572990825,1275,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19541,928,1,4,http://localhost:8000/event/2/tickets,1273,0,1
1544572992100,1207,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19543,928,1,4,http://localhost:8000/event/2/tickets,1205,0,1
1544572993307,1101,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19539,930,1,4,http://localhost:8000/event/2/tickets,1100,0,0
1544572994409,1104,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19549,926,1,4,http://localhost:8000/event/2/tickets,1103,0,0
1544572995514,1117,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19547,936,1,4,http://localhost:8000/event/2/tickets,1116,0,0
1544572996632,1105,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19539,934,1,4,http://localhost:8000/event/2/tickets,1103,0,0
1544572997737,1146,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19541,926,1,4,http://localhost:8000/event/2/tickets,1145,0,1
1544572998884,1154,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19541,928,1,4,http://localhost:8000/event/2/tickets,1153,0,0
1544573000038,1130,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19541,928,1,4,http://localhost:8000/event/2/tickets,1128,0,1
1544573001168,1095,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19539,928,1,4,http://localhost:8000/event/2/tickets,1094,0,1
1544573002264,1114,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19537,926,1,4,http://localhost:8000/event/2/tickets,1112,0,0
1544573003378,1093,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19547,924,1,4,http://localhost:8000/event/2/tickets,1092,0,0
1544573004472,1110,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19547,934,1,4,http://localhost:8000/event/2/tickets,1109,0,0
1544573005583,1089,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19547,934,1,4,http://localhost:8000/event/2/tickets,1088,0,0
1544573006673,1087,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19539,934,1,4,http://localhost:8000/event/2/tickets,1086,0,0
