timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1544572936629,359,HTTP Request,200,OK,events 2-1,text,true,,38404,406,1,4,http://localhost:8000/organiser/1/events,356,0,1
1544572936989,1188,HTTP Request,200,OK,events 2-1,text,true,,38398,933,1,4,http://localhost:8000/organiser/1/events,1186,0,0
1544572938178,1190,HTTP Request,200,OK,events 2-1,text,true,,38398,927,1,4,http://localhost:8000/organiser/1/events,1188,0,0
1544572939368,1171,HTTP Request,200,OK,events 2-1,text,true,,38402,927,1,4,http://localhost:8000/organiser/1/events,1169,0,1
1544572940539,1138,HTTP Request,200,OK,events 2-1,text,true,,38398,931,1,4,http://localhost:8000/organiser/1/events,1136,0,1
1544572941678,1170,HTTP Request,200,OK,events 2-1,text,true,,38400,927,1,4,http://localhost:8000/organiser/1/events,1168,0,0
1544572942849,1138,HTTP Request,200,OK,events 2-1,text,true,,38400,929,1,4,http://localhost:8000/organiser/1/events,1136,0,0
1544572943988,1181,HTTP Request,200,OK,events 2-1,text,true,,38398,929,1,4,http://localhost:8000/organiser/1/events,1179,0,0
1544572945170,1150,HTTP Request,200,OK,events 2-1,text,true,,38408,927,1,4,http://localhost:8000/organiser/1/events,1148,0,0
1544572946320,1180,HTTP Request,200,OK,events 2-1,text,true,,38402,937,1,4,http://localhost:8000/organiser/1/events,1178,0,1
1544572947500,1163,HTTP Request,200,OK,events 2-1,text,true,,38406,931,1,4,http://localhost:8000/organiser/1/events,1161,0,1
1544572948664,1107,HTTP Request,200,OK,events 2-1,text,true,,38396,935,1,4,http://localhost:8000/organiser/1/events,1105,0,0
1544572949772,1072,HTTP Request,200,OK,events 2-1,text,true,,38404,925,1,4,http://localhost:8000/organiser/1/events,1070,0,0
1544572950844,1084,HTTP Request,200,OK,events 2-1,text,true,,38400,933,1,4,http://localhost:8000/organiser/1/events,1082,0,1
1544572951928,1118,HTTP Request,200,OK,events 2-1,text,true,,38406,929,1,4,http://localhost:8000/organiser/1/events,1116,0,1
1544572953047,1113,HTTP Request,200,OK,events 2-1,text,true,,38400,935,1,4,http://localhost:8000/organiser/1/events,1110,0,0
1544572954160,1150,HTTP Request,200,OK,events 2-1,text,true,,38404,929,1,4,http://localhost:8000/organiser/1/events,1148,0,1
1544572955310,1146,HTTP Request,200,OK,events 2-1,text,true,,38400,933,1,4,http://localhost:8000/organiser/1/events,1144,0,1
1544572956456,1125,HTTP Request,200,OK,events 2-1,text,true,,38406,929,1,4,http://localhost:8000/organiser/1/events,1123,0,1
1544572957582,1109,HTTP Request,200,OK,events 2-1,text,true,,38404,935,1,4,http://localhost:8000/organiser/1/events,1107,0,0
1544572958692,1096,HTTP Request,200,OK,events 2-1,text,true,,38400,933,1,4,http://localhost:8000/organiser/1/events,1093,0,0
1544572959788,1120,HTTP Request,200,OK,events 2-1,text,true,,38396,929,1,4,http://localhost:8000/organiser/1/events,1117,0,1
1544572960908,1087,HTTP Request,200,OK,events 2-1,text,true,,38404,925,1,4,http://localhost:8000/organiser/1/events,1085,0,1
1544572961995,1126,HTTP Request,200,OK,events 2-1,text,true,,38398,933,1,4,http://localhost:8000/organiser/1/events,1124,0,1
1544572963121,1109,HTTP Request,200,OK,events 2-1,text,true,,38402,927,1,4,http://localhost:8000/organiser/1/events,1107,0,1
1544572964231,1111,HTTP Request,200,OK,events 2-1,text,true,,38404,931,1,4,http://localhost:8000/organiser/1/events,1108,0,0
1544572965342,1113,HTTP Request,200,OK,events 2-1,text,true,,38406,933,1,4,http://localhost:8000/organiser/1/events,1111,0,0
1544572966455,1126,HTTP Request,200,OK,events 2-1,text,true,,38400,935,1,4,http://localhost:8000/organiser/1/events,1123,0,1
1544572967581,1122,HTTP Request,200,OK,events 2-1,text,true,,38398,929,1,4,http://localhost:8000/organiser/1/events,1120,0,1
1544572968704,1072,HTTP Request,200,OK,events 2-1,text,true,,38408,927,1,4,http://localhost:8000/organiser/1/events,1069,0,0
1544572969776,1109,HTTP Request,200,OK,events 2-1,text,true,,38402,937,1,4,http://localhost:8000/organiser/1/events,1107,0,1
1544572970886,1091,HTTP Request,200,OK,events 2-1,text,true,,38400,931,1,4,http://localhost:8000/organiser/1/events,1089,0,0
1544572971978,1175,HTTP Request,200,OK,events 2-1,text,true,,38400,929,1,4,http://localhost:8000/organiser/1/events,1173,0,0
1544572973154,1119,HTTP Request,200,OK,events 2-1,text,true,,38400,929,1,4,http://localhost:8000/organiser/1/events,1117,0,0
1544572974274,1077,HTTP Request,200,OK,events 2-1,text,true,,38402,929,1,4,http://localhost:8000/organiser/1/events,1075,0,0
1544572975351,1106,HTTP Request,200,OK,events 2-1,text,true,,38396,931,1,4,http://localhost:8000/organiser/1/events,1104,0,1
1544572976458,1164,HTTP Request,200,OK,events 2-1,text,true,,38404,925,1,4,http://localhost:8000/organiser/1/events,1162,0,0
