timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1544572936644,979,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34772,407,1,4,http://localhost:8000/event/2/dashboard,977,0,5
1544572937623,1138,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34770,930,1,4,http://localhost:8000/event/2/dashboard,1136,0,1
1544572938761,1203,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34784,928,1,4,http://localhost:8000/event/2/dashboard,1201,0,1
1544572939964,1164,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34774,942,1,4,http://localhost:8000/event/2/dashboard,1162,0,1
1544572941129,1150,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34776,932,1,4,http://localhost:8000/event/2/dashboard,1148,0,0
1544572942279,1166,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34772,934,1,4,http://localhost:8000/event/2/dashboard,1165,0,0
1544572943446,1162,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34778,930,1,4,http://localhost:8000/event/2/dashboard,1161,0,0
1544572944609,1148,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34768,936,1,4,http://localhost:8000/event/2/dashboard,1146,0,0
1544572945758,1173,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34774,926,1,4,http://localhost:8000/event/2/dashboard,1171,0,0
1544572946931,1177,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34780,932,1,4,http://localhost:8000/event/2/dashboard,1175,0,1
1544572948108,1149,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34776,938,1,4,http://localhost:8000/event/2/dashboard,1147,0,1
1544572949257,1056,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34774,934,1,4,http://localhost:8000/event/2/dashboard,1055,0,0
1544572950314,1068,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34780,932,1,4,http://localhost:8000/event/2/dashboard,1067,0,0
1544572951383,1141,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34776,938,1,4,http://localhost:8000/event/2/dashboard,1139,0,0
1544572952524,1088,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34770,934,1,4,http://localhost:8000/event/2/dashboard,1087,0,1
1544572953613,1082,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34772,928,1,4,http://localhost:8000/event/2/dashboard,1080,0,0
1544572954695,1204,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34772,930,1,4,http://localhost:8000/event/2/dashboard,1203,0,0
1544572955900,1124,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34772,930,1,4,http://localhost:8000/event/2/dashboard,1122,0,0
1544572957024,1134,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34774,930,1,4,http://localhost:8000/event/2/dashboard,1132,0,1
1544572958158,1110,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34780,932,1,4,http://localhost:8000/event/2/dashboard,1106,0,1
1544572959269,1085,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34774,938,1,4,http://localhost:8000/event/2/dashboard,1083,0,0
1544572960354,1121,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34776,932,1,4,http://localhost:8000/event/2/dashboard,1119,0,1
1544572961475,1092,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34770,934,1,4,http://localhost:8000/event/2/dashboard,1089,0,1
1544572962568,1143,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34776,928,1,4,http://localhost:8000/event/2/dashboard,1142,0,0
1544572963712,1085,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34770,934,1,4,http://localhost:8000/event/2/dashboard,1083,0,0
1544572964797,1103,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34772,928,1,4,http://localhost:8000/event/2/dashboard,1101,0,1
1544572965900,1100,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34772,930,1,4,http://localhost:8000/event/2/dashboard,1098,0,0
1544572967001,1137,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34776,930,1,4,http://localhost:8000/event/2/dashboard,1135,0,0
1544572968138,1116,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34778,934,1,4,http://localhost:8000/event/2/dashboard,1114,0,1
1544572969254,1082,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34772,936,1,4,http://localhost:8000/event/2/dashboard,1080,0,1
1544572970336,1100,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34770,930,1,4,http://localhost:8000/event/2/dashboard,1098,0,0
1544572971437,1155,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34774,928,1,4,http://localhost:8000/event/2/dashboard,1153,0,0
1544572972592,1129,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34772,932,1,4,http://localhost:8000/event/2/dashboard,1128,0,0
1544572973722,1099,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34768,930,1,4,http://localhost:8000/event/2/dashboard,1098,0,0
1544572974822,1091,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34776,926,1,4,http://localhost:8000/event/2/dashboard,1089,0,0
1544572975913,1151,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34774,934,1,4,http://localhost:8000/event/2/dashboard,1149,0,0
1544572977064,1123,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34774,932,1,4,http://localhost:8000/event/2/dashboard,1121,0,1
1544572978187,1116,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34774,932,1,4,http://localhost:8000/event/2/dashboard,1114,0,1
1544572979303,1110,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34772,932,1,4,http://localhost:8000/event/2/dashboard,1108,0,1
