timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1544573247309,1818,HTTP Request,200,OK,events 2-1,text,true,,38480,406,1,4,http://localhost:8000/organiser/1/events,1815,0,1
1544573249128,1433,HTTP Request,200,OK,events 2-1,text,true,,38484,929,1,4,http://localhost:8000/organiser/1/events,1430,0,1
1544573250561,1430,HTTP Request,200,OK,events 2-1,text,true,,38480,933,1,4,http://localhost:8000/organiser/1/events,1427,0,1
1544573251991,1475,HTTP Request,200,OK,events 2-1,text,true,,38478,929,1,4,http://localhost:8000/organiser/1/events,1472,0,1
1544573253466,1473,HTTP Request,200,OK,events 2-1,text,true,,38478,927,1,4,http://localhost:8000/organiser/1/events,1469,0,1
1544573254940,1440,HTTP Request,200,OK,events 2-1,text,true,,38488,927,1,4,http://localhost:8000/organiser/1/events,1437,0,0
1544573256380,1380,HTTP Request,200,OK,events 2-1,text,true,,38486,937,1,4,http://localhost:8000/organiser/1/events,1378,0,0
1544573257761,1378,HTTP Request,200,OK,events 2-1,text,true,,38480,935,1,4,http://localhost:8000/organiser/1/events,1376,0,0
1544573259139,1357,HTTP Request,200,OK,events 2-1,text,true,,38480,929,1,4,http://localhost:8000/organiser/1/events,1354,0,1
1544573260496,1379,HTTP Request,200,OK,events 2-1,text,true,,38486,929,1,4,http://localhost:8000/organiser/1/events,1377,0,0
1544573261876,1417,HTTP Request,200,OK,events 2-1,text,true,,38482,935,1,4,http://localhost:8000/organiser/1/events,1415,0,0
1544573263294,1377,HTTP Request,200,OK,events 2-1,text,true,,38480,931,1,4,http://localhost:8000/organiser/1/events,1374,0,0
1544573264671,1367,HTTP Request,200,OK,events 2-1,text,true,,38478,929,1,4,http://localhost:8000/organiser/1/events,1364,0,0
1544573266038,1350,HTTP Request,200,OK,events 2-1,text,true,,38486,927,1,4,http://localhost:8000/organiser/1/events,1348,0,0
1544573267389,1389,HTTP Request,200,OK,events 2-1,text,true,,38478,935,1,4,http://localhost:8000/organiser/1/events,1386,0,0
1544573268779,1448,HTTP Request,200,OK,events 2-1,text,true,,38484,927,1,4,http://localhost:8000/organiser/1/events,1445,0,0
1544573270227,1491,HTTP Request,200,OK,events 2-1,text,true,,38478,933,1,4,http://localhost:8000/organiser/1/events,1488,0,1
1544573271719,1674,HTTP Request,200,OK,events 2-1,text,true,,38480,927,1,4,http://localhost:8000/organiser/1/events,1671,0,0
1544573273393,1567,HTTP Request,200,OK,events 2-1,text,true,,38486,929,1,4,http://localhost:8000/organiser/1/events,1564,0,1
1544573274960,1702,HTTP Request,200,OK,events 2-1,text,true,,38482,935,1,4,http://localhost:8000/organiser/1/events,1697,0,1
1544573276663,1493,HTTP Request,200,OK,events 2-1,text,true,,38480,931,1,4,http://localhost:8000/organiser/1/events,1491,0,0
1544573278157,3271,HTTP Request,200,OK,events 2-1,text,true,,38476,929,1,4,http://localhost:8000/organiser/1/events,3267,0,0
1544573281428,1507,HTTP Request,200,OK,events 2-1,text,true,,38480,925,1,4,http://localhost:8000/organiser/1/events,1504,0,1
1544573282936,1646,HTTP Request,200,OK,events 2-1,text,true,,38486,929,1,4,http://localhost:8000/organiser/1/events,1643,0,0
1544573284582,1412,HTTP Request,200,OK,events 2-1,text,true,,38480,935,1,4,http://localhost:8000/organiser/1/events,1410,0,1
