timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1544573834542,1833,HTTP Request,200,OK,dashboard 1-1,text,true,,177580,409,1,4,http://localhost:8000/organiser/1/dashboard,1801,0,1
1544573836376,2912,HTTP Request,200,OK,dashboard 1-1,text,true,,177584,930,1,4,http://localhost:8000/organiser/1/dashboard,2868,0,1
1544573839289,2856,HTTP Request,200,OK,dashboard 1-1,text,true,,177584,934,1,4,http://localhost:8000/organiser/1/dashboard,2824,0,0
1544573842145,2814,HTTP Request,200,OK,dashboard 1-1,text,true,,177580,934,1,4,http://localhost:8000/organiser/1/dashboard,2783,0,1
1544573844959,2874,HTTP Request,200,OK,dashboard 1-1,text,true,,177588,930,1,4,http://localhost:8000/organiser/1/dashboard,2842,0,1
1544573847833,2938,HTTP Request,200,OK,dashboard 1-1,text,true,,177584,938,1,4,http://localhost:8000/organiser/1/dashboard,2907,0,1
1544573850771,2783,HTTP Request,200,OK,dashboard 1-1,text,true,,177586,934,1,4,http://localhost:8000/organiser/1/dashboard,2753,0,1
1544573853555,2974,HTTP Request,200,OK,dashboard 1-1,text,true,,177588,936,1,4,http://localhost:8000/organiser/1/dashboard,2942,0,0
1544573856529,2807,HTTP Request,200,OK,dashboard 1-1,text,true,,177580,938,1,4,http://localhost:8000/organiser/1/dashboard,2776,0,1
1544573859336,2836,HTTP Request,200,OK,dashboard 1-1,text,true,,177580,930,1,4,http://localhost:8000/organiser/1/dashboard,2792,0,1
1544573862173,2932,HTTP Request,200,OK,dashboard 1-1,text,true,,177586,930,1,4,http://localhost:8000/organiser/1/dashboard,2865,0,0
1544573865106,2817,HTTP Request,200,OK,dashboard 1-1,text,true,,177580,936,1,4,http://localhost:8000/organiser/1/dashboard,2787,0,1
1544573867924,2811,HTTP Request,200,OK,dashboard 1-1,text,true,,177580,930,1,4,http://localhost:8000/organiser/1/dashboard,2781,0,0
1544573870735,2792,HTTP Request,200,OK,dashboard 1-1,text,true,,177590,930,1,4,http://localhost:8000/organiser/1/dashboard,2761,0,1
1544573873527,2772,HTTP Request,200,OK,dashboard 1-1,text,true,,177584,940,1,4,http://localhost:8000/organiser/1/dashboard,2741,0,1
1544573876299,2819,HTTP Request,200,OK,dashboard 1-1,text,true,,177582,934,1,4,http://localhost:8000/organiser/1/dashboard,2780,0,1
1544573879118,2817,HTTP Request,200,OK,dashboard 1-1,text,true,,177582,932,1,4,http://localhost:8000/organiser/1/dashboard,2787,0,1
1544573881935,2822,HTTP Request,200,OK,dashboard 1-1,text,true,,177584,932,1,4,http://localhost:8000/organiser/1/dashboard,2789,0,1
1544573884758,2799,HTTP Request,200,OK,dashboard 1-1,text,true,,177584,934,1,4,http://localhost:8000/organiser/1/dashboard,2769,0,0
1544573887558,2780,HTTP Request,200,OK,dashboard 1-1,text,true,,177582,934,1,4,http://localhost:8000/organiser/1/dashboard,2749,0,0
1544573890338,2811,HTTP Request,200,OK,dashboard 1-1,text,true,,177580,932,1,4,http://localhost:8000/organiser/1/dashboard,2777,0,1
1544573893150,2771,HTTP Request,200,OK,dashboard 1-1,text,true,,177582,930,1,4,http://localhost:8000/organiser/1/dashboard,2741,0,0
1544573895922,2799,HTTP Request,200,OK,dashboard 1-1,text,true,,177588,932,1,4,http://localhost:8000/organiser/1/dashboard,2767,0,1
