timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1544573834543,272,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19544,405,1,4,http://localhost:8000/event/2/tickets,269,0,1
1544573834815,2922,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19540,930,1,4,http://localhost:8000/event/2/tickets,2917,0,1
1544573837737,2920,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19546,926,1,4,http://localhost:8000/event/2/tickets,2916,0,1
1544573840658,2840,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19542,932,1,4,http://localhost:8000/event/2/tickets,2834,0,0
1544573843499,2782,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19542,928,1,4,http://localhost:8000/event/2/tickets,2776,0,0
1544573846281,2937,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19540,928,1,4,http://localhost:8000/event/2/tickets,2931,0,1
1544573849218,2874,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19540,926,1,4,http://localhost:8000/event/2/tickets,2870,0,1
1544573852093,2808,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19542,926,1,4,http://localhost:8000/event/2/tickets,2803,0,0
1544573854901,2937,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19548,928,1,4,http://localhost:8000/event/2/tickets,2932,0,1
1544573857838,2813,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19542,934,1,4,http://localhost:8000/event/2/tickets,2809,0,1
1544573860652,2872,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19548,928,1,4,http://localhost:8000/event/2/tickets,2867,0,0
1544573863524,2925,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19538,934,1,4,http://localhost:8000/event/2/tickets,2921,0,1
1544573866450,2813,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19546,924,1,4,http://localhost:8000/event/2/tickets,2808,0,0
1544573869263,2831,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19546,932,1,4,http://localhost:8000/event/2/tickets,2827,0,1
1544573872095,2749,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19542,932,1,4,http://localhost:8000/event/2/tickets,2745,0,0
1544573874845,2793,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19538,928,1,4,http://localhost:8000/event/2/tickets,2789,0,0
1544573877639,2825,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19546,924,1,4,http://localhost:8000/event/2/tickets,2820,0,0
1544573880464,2825,HTTP Request,200,OK,event_id_tickets 4-1,text,true,,19538,932,1,4,http://localhost:8000/event/2/tickets,2821,0,1
