timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1544568966329,608,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,413,1,4,http://localhost:8000/organiser/1/dashboard,605,0,1
1544568966938,1175,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,936,1,4,http://localhost:8000/organiser/1/dashboard,1173,0,0
1544568968114,1184,HTTP Request,200,OK,dashboard 1-1,text,true,,50541,936,1,4,http://localhost:8000/organiser/1/dashboard,1182,0,1
1544568969299,1168,HTTP Request,200,OK,dashboard 1-1,text,true,,50535,940,1,4,http://localhost:8000/organiser/1/dashboard,1165,0,0
1544568970467,1159,HTTP Request,200,OK,dashboard 1-1,text,true,,50541,934,1,4,http://localhost:8000/organiser/1/dashboard,1156,0,1
1544568971626,1145,HTTP Request,200,OK,dashboard 1-1,text,true,,50535,940,1,4,http://localhost:8000/organiser/1/dashboard,1142,0,1
1544568972771,1106,HTTP Request,200,OK,dashboard 1-1,text,true,,50539,934,1,4,http://localhost:8000/organiser/1/dashboard,1104,0,1
1544568973878,1137,HTTP Request,200,OK,dashboard 1-1,text,true,,50535,938,1,4,http://localhost:8000/organiser/1/dashboard,1134,0,1
1544568975015,1184,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,934,1,4,http://localhost:8000/organiser/1/dashboard,1182,0,1
1544568976199,1164,HTTP Request,200,OK,dashboard 1-1,text,true,,50541,936,1,4,http://localhost:8000/organiser/1/dashboard,1162,0,1
1544568977363,1100,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,940,1,4,http://localhost:8000/organiser/1/dashboard,1098,0,1
1544568978464,1168,HTTP Request,200,OK,dashboard 1-1,text,true,,50535,936,1,4,http://localhost:8000/organiser/1/dashboard,1166,0,0
1544568979632,1166,HTTP Request,200,OK,dashboard 1-1,text,true,,50533,934,1,4,http://localhost:8000/organiser/1/dashboard,1164,0,1
1544568980799,1184,HTTP Request,200,OK,dashboard 1-1,text,true,,50541,932,1,4,http://localhost:8000/organiser/1/dashboard,1182,0,0
1544568981983,1161,HTTP Request,200,OK,dashboard 1-1,text,true,,50533,940,1,4,http://localhost:8000/organiser/1/dashboard,1159,0,1
1544568983145,1172,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,932,1,4,http://localhost:8000/organiser/1/dashboard,1170,0,0
1544568984318,1259,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,936,1,4,http://localhost:8000/organiser/1/dashboard,1257,0,0
1544568985578,1153,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,936,1,4,http://localhost:8000/organiser/1/dashboard,1151,0,1
1544568986732,1113,HTTP Request,200,OK,dashboard 1-1,text,true,,50533,936,1,4,http://localhost:8000/organiser/1/dashboard,1111,0,1
1544568987846,1171,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,932,1,4,http://localhost:8000/organiser/1/dashboard,1169,0,1
1544568989018,1158,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,936,1,4,http://localhost:8000/organiser/1/dashboard,1156,0,0
1544568990177,1272,HTTP Request,200,OK,dashboard 1-1,text,true,,50539,936,1,4,http://localhost:8000/organiser/1/dashboard,1270,0,0
1544568991450,1176,HTTP Request,200,OK,dashboard 1-1,text,true,,50541,938,1,4,http://localhost:8000/organiser/1/dashboard,1174,0,0
1544568992626,1108,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,940,1,4,http://localhost:8000/organiser/1/dashboard,1105,0,1
1544568993734,1217,HTTP Request,200,OK,dashboard 1-1,text,true,,50539,936,1,4,http://localhost:8000/organiser/1/dashboard,1214,0,1
1544568994952,1331,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,938,1,4,http://localhost:8000/organiser/1/dashboard,1328,0,0
1544568996283,1210,HTTP Request,200,OK,dashboard 1-1,text,true,,50539,936,1,4,http://localhost:8000/organiser/1/dashboard,1207,0,1
1544568997493,1295,HTTP Request,200,OK,dashboard 1-1,text,true,,50545,938,1,4,http://localhost:8000/organiser/1/dashboard,1293,0,1
1544568998788,1092,HTTP Request,200,OK,dashboard 1-1,text,true,,50543,944,1,4,http://localhost:8000/organiser/1/dashboard,1089,0,1
1544568999880,1111,HTTP Request,200,OK,dashboard 1-1,text,true,,50543,942,1,4,http://localhost:8000/organiser/1/dashboard,1108,0,1
1544569000991,1084,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,942,1,4,http://localhost:8000/organiser/1/dashboard,1080,0,1
1544569002075,1169,HTTP Request,200,OK,dashboard 1-1,text,true,,50543,936,1,4,http://localhost:8000/organiser/1/dashboard,1166,0,1
1544569003244,1201,HTTP Request,200,OK,dashboard 1-1,text,true,,50539,942,1,4,http://localhost:8000/organiser/1/dashboard,1199,0,1
1544569004446,1121,HTTP Request,200,OK,dashboard 1-1,text,true,,50539,938,1,4,http://localhost:8000/organiser/1/dashboard,1119,0,0
1544569005568,1231,HTTP Request,200,OK,dashboard 1-1,text,true,,50535,938,1,4,http://localhost:8000/organiser/1/dashboard,1229,0,0
1544569006800,1234,HTTP Request,200,OK,dashboard 1-1,text,true,,50533,934,1,4,http://localhost:8000/organiser/1/dashboard,1232,0,1
1544569008035,1125,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,932,1,4,http://localhost:8000/organiser/1/dashboard,1122,0,0
1544569009160,1153,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,936,1,4,http://localhost:8000/organiser/1/dashboard,1151,0,1
1544569010313,1117,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,936,1,4,http://localhost:8000/organiser/1/dashboard,1115,0,1
1544569011431,1081,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,936,1,4,http://localhost:8000/organiser/1/dashboard,1078,0,0
1544569012512,1117,HTTP Request,200,OK,dashboard 1-1,text,true,,50541,936,1,4,http://localhost:8000/organiser/1/dashboard,1115,0,1
1544569013630,1136,HTTP Request,200,OK,dashboard 1-1,text,true,,50539,940,1,4,http://localhost:8000/organiser/1/dashboard,1134,0,0
1544569014767,1125,HTTP Request,200,OK,dashboard 1-1,text,true,,50539,938,1,4,http://localhost:8000/organiser/1/dashboard,1123,0,1
1544569015893,1138,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,938,1,4,http://localhost:8000/organiser/1/dashboard,1136,0,1
1544569017032,1134,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,936,1,4,http://localhost:8000/organiser/1/dashboard,1132,0,1
1544569018166,1097,HTTP Request,200,OK,dashboard 1-1,text,true,,50539,936,1,4,http://localhost:8000/organiser/1/dashboard,1095,0,1
1544569019264,1160,HTTP Request,200,OK,dashboard 1-1,text,true,,50535,938,1,4,http://localhost:8000/organiser/1/dashboard,1157,0,1
1544569020424,1162,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,934,1,4,http://localhost:8000/organiser/1/dashboard,1160,0,1
1544569021587,1194,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,936,1,4,http://localhost:8000/organiser/1/dashboard,1192,0,1
1544569022782,1205,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,936,1,4,http://localhost:8000/organiser/1/dashboard,1202,0,1
1544569023987,1186,HTTP Request,200,OK,dashboard 1-1,text,true,,50535,936,1,4,http://localhost:8000/organiser/1/dashboard,1183,0,1
1544569025173,1190,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,934,1,4,http://localhost:8000/organiser/1/dashboard,1187,0,1
1544569026363,1262,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,936,1,4,http://localhost:8000/organiser/1/dashboard,1259,0,1
1544569027625,1271,HTTP Request,200,OK,dashboard 1-1,text,true,,50547,936,1,4,http://localhost:8000/organiser/1/dashboard,1269,0,1
1544569028897,1126,HTTP Request,200,OK,dashboard 1-1,text,true,,50545,946,1,4,http://localhost:8000/organiser/1/dashboard,1124,0,1
1544569030023,1126,HTTP Request,200,OK,dashboard 1-1,text,true,,50539,944,1,4,http://localhost:8000/organiser/1/dashboard,1124,0,1
1544569031149,1086,HTTP Request,200,OK,dashboard 1-1,text,true,,50533,938,1,4,http://localhost:8000/organiser/1/dashboard,1084,0,1
1544569032235,1117,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,932,1,4,http://localhost:8000/organiser/1/dashboard,1115,0,1
1544569033353,1102,HTTP Request,200,OK,dashboard 1-1,text,true,,50545,936,1,4,http://localhost:8000/organiser/1/dashboard,1100,0,1
1544569034456,1126,HTTP Request,200,OK,dashboard 1-1,text,true,,50539,944,1,4,http://localhost:8000/organiser/1/dashboard,1123,0,0
1544569035582,1117,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,938,1,4,http://localhost:8000/organiser/1/dashboard,1115,0,1
1544569036700,1101,HTTP Request,200,OK,dashboard 1-1,text,true,,50535,936,1,4,http://localhost:8000/organiser/1/dashboard,1099,0,0
1544569037802,1086,HTTP Request,200,OK,dashboard 1-1,text,true,,50541,934,1,4,http://localhost:8000/organiser/1/dashboard,1084,0,0
1544569038889,1125,HTTP Request,200,OK,dashboard 1-1,text,true,,50543,940,1,4,http://localhost:8000/organiser/1/dashboard,1123,0,1
1544569040015,1120,HTTP Request,200,OK,dashboard 1-1,text,true,,50539,942,1,4,http://localhost:8000/organiser/1/dashboard,1117,0,0
1544569041135,1078,HTTP Request,200,OK,dashboard 1-1,text,true,,50533,938,1,4,http://localhost:8000/organiser/1/dashboard,1075,0,1
1544569042213,1129,HTTP Request,200,OK,dashboard 1-1,text,true,,50539,932,1,4,http://localhost:8000/organiser/1/dashboard,1127,0,1
1544569043343,1098,HTTP Request,200,OK,dashboard 1-1,text,true,,50539,938,1,4,http://localhost:8000/organiser/1/dashboard,1095,0,0
1544569044441,1302,HTTP Request,200,OK,dashboard 1-1,text,true,,50533,938,1,4,http://localhost:8000/organiser/1/dashboard,1299,0,1
1544569045743,1192,HTTP Request,200,OK,dashboard 1-1,text,true,,50539,932,1,4,http://localhost:8000/organiser/1/dashboard,1190,0,1
1544569046936,1111,HTTP Request,200,OK,dashboard 1-1,text,true,,50541,938,1,4,http://localhost:8000/organiser/1/dashboard,1107,0,0
1544569048047,1297,HTTP Request,200,OK,dashboard 1-1,text,true,,50535,940,1,4,http://localhost:8000/organiser/1/dashboard,1293,0,1
1544569049345,1317,HTTP Request,200,OK,dashboard 1-1,text,true,,50537,934,1,4,http://localhost:8000/organiser/1/dashboard,1314,0,1
1544569050662,1254,HTTP Request,200,OK,dashboard 1-1,text,true,,50535,936,1,4,http://localhost:8000/organiser/1/dashboard,1251,0,1
1544569051916,1728,HTTP Request,200,OK,dashboard 1-1,text,true,,50535,934,1,4,http://localhost:8000/organiser/1/dashboard,1723,0,1
1544569053645,1929,HTTP Request,200,OK,dashboard 1-1,text,true,,50539,934,1,4,http://localhost:8000/organiser/1/dashboard,1927,0,2
1544569055575,1260,HTTP Request,200,OK,dashboard 1-1,text,true,,50539,938,1,4,http://localhost:8000/organiser/1/dashboard,1257,0,1
1544569056835,1268,HTTP Request,200,OK,dashboard 1-1,text,true,,50545,938,1,4,http://localhost:8000/organiser/1/dashboard,1266,0,1
1544569058103,1246,HTTP Request,200,OK,dashboard 1-1,text,true,,50539,944,1,4,http://localhost:8000/organiser/1/dashboard,1243,0,1
1544569059349,1248,HTTP Request,200,OK,dashboard 1-1,text,true,,50545,938,1,4,http://localhost:8000/organiser/1/dashboard,1246,0,1
