timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1544568966331,925,HTTP Request,200,OK,events 2-1,text,true,,38400,406,1,4,http://localhost:8000/organiser/1/events,922,0,1
1544568967257,1178,HTTP Request,200,OK,events 2-1,text,true,,38402,929,1,4,http://localhost:8000/organiser/1/events,1176,0,0
1544568968436,1187,HTTP Request,200,OK,events 2-1,text,true,,38400,931,1,4,http://localhost:8000/organiser/1/events,1184,0,0
1544568969623,1185,HTTP Request,200,OK,events 2-1,text,true,,38404,929,1,4,http://localhost:8000/organiser/1/events,1183,0,1
1544568970809,1118,HTTP Request,200,OK,events 2-1,text,true,,38406,933,1,4,http://localhost:8000/organiser/1/events,1116,0,1
1544568971928,1151,HTTP Request,200,OK,events 2-1,text,true,,38398,935,1,4,http://localhost:8000/organiser/1/events,1149,0,1
1544568973080,1127,HTTP Request,200,OK,events 2-1,text,true,,38398,927,1,4,http://localhost:8000/organiser/1/events,1125,0,0
1544568974208,1186,HTTP Request,200,OK,events 2-1,text,true,,38400,927,1,4,http://localhost:8000/organiser/1/events,1183,0,0
1544568975394,1096,HTTP Request,200,OK,events 2-1,text,true,,38408,929,1,4,http://localhost:8000/organiser/1/events,1094,0,1
1544568976490,1184,HTTP Request,200,OK,events 2-1,text,true,,38404,937,1,4,http://localhost:8000/organiser/1/events,1182,0,1
1544568977675,1095,HTTP Request,200,OK,events 2-1,text,true,,38408,933,1,4,http://localhost:8000/organiser/1/events,1093,0,0
1544568978771,1202,HTTP Request,200,OK,events 2-1,text,true,,38402,937,1,4,http://localhost:8000/organiser/1/events,1200,0,0
1544568979974,1145,HTTP Request,200,OK,events 2-1,text,true,,38406,931,1,4,http://localhost:8000/organiser/1/events,1143,0,0
1544568981119,1205,HTTP Request,200,OK,events 2-1,text,true,,38400,935,1,4,http://localhost:8000/organiser/1/events,1203,0,1
1544568982325,1153,HTTP Request,200,OK,events 2-1,text,true,,38398,929,1,4,http://localhost:8000/organiser/1/events,1145,0,0
1544568983479,1154,HTTP Request,200,OK,events 2-1,text,true,,38404,927,1,4,http://localhost:8000/organiser/1/events,1150,0,0
1544568984633,1233,HTTP Request,200,OK,events 2-1,text,true,,38400,933,1,4,http://localhost:8000/organiser/1/events,1231,0,1
1544568985866,1158,HTTP Request,200,OK,events 2-1,text,true,,38406,929,1,4,http://localhost:8000/organiser/1/events,1155,0,1
1544568987024,1153,HTTP Request,200,OK,events 2-1,text,true,,38400,935,1,4,http://localhost:8000/organiser/1/events,1150,0,1
1544568988178,1190,HTTP Request,200,OK,events 2-1,text,true,,38404,929,1,4,http://localhost:8000/organiser/1/events,1188,0,0
1544568989369,1139,HTTP Request,200,OK,events 2-1,text,true,,38404,933,1,4,http://localhost:8000/organiser/1/events,1134,0,1
1544568990508,1283,HTTP Request,200,OK,events 2-1,text,true,,38400,933,1,4,http://localhost:8000/organiser/1/events,1281,0,1
1544568991792,1137,HTTP Request,200,OK,events 2-1,text,true,,38398,929,1,4,http://localhost:8000/organiser/1/events,1135,0,1
1544568992930,1107,HTTP Request,200,OK,events 2-1,text,true,,38406,927,1,4,http://localhost:8000/organiser/1/events,1103,0,1
1544568994037,1329,HTTP Request,200,OK,events 2-1,text,true,,38402,935,1,4,http://localhost:8000/organiser/1/events,1326,0,1
1544568995367,1236,HTTP Request,200,OK,events 2-1,text,true,,38400,931,1,4,http://localhost:8000/organiser/1/events,1234,0,0
1544568996604,1345,HTTP Request,200,OK,events 2-1,text,true,,38400,929,1,4,http://localhost:8000/organiser/1/events,1343,0,1
1544568997950,1130,HTTP Request,200,OK,events 2-1,text,true,,38400,929,1,4,http://localhost:8000/organiser/1/events,1128,0,0
1544568999080,1111,HTTP Request,200,OK,events 2-1,text,true,,38402,929,1,4,http://localhost:8000/organiser/1/events,1109,0,1
1544569000191,1095,HTTP Request,200,OK,events 2-1,text,true,,38400,931,1,4,http://localhost:8000/organiser/1/events,1093,0,1
1544569001287,1075,HTTP Request,200,OK,events 2-1,text,true,,38402,929,1,4,http://localhost:8000/organiser/1/events,1073,0,0
1544569002362,1231,HTTP Request,200,OK,events 2-1,text,true,,38398,931,1,4,http://localhost:8000/organiser/1/events,1203,0,1
1544569003597,1161,HTTP Request,200,OK,events 2-1,text,true,,38398,927,1,4,http://localhost:8000/organiser/1/events,1159,0,0
1544569004759,1117,HTTP Request,200,OK,events 2-1,text,true,,38398,927,1,4,http://localhost:8000/organiser/1/events,1115,0,1
1544569005877,1254,HTTP Request,200,OK,events 2-1,text,true,,38406,927,1,4,http://localhost:8000/organiser/1/events,1251,0,0
1544569007131,1199,HTTP Request,200,OK,events 2-1,text,true,,38404,935,1,4,http://localhost:8000/organiser/1/events,1197,0,1
1544569008331,1148,HTTP Request,200,OK,events 2-1,text,true,,38406,933,1,4,http://localhost:8000/organiser/1/events,1146,0,1
1544569009480,1148,HTTP Request,200,OK,events 2-1,text,true,,38396,935,1,4,http://localhost:8000/organiser/1/events,1146,0,1
1544569010629,1114,HTTP Request,200,OK,events 2-1,text,true,,38400,925,1,4,http://localhost:8000/organiser/1/events,1112,0,1
1544569011743,1089,HTTP Request,200,OK,events 2-1,text,true,,38396,929,1,4,http://localhost:8000/organiser/1/events,1087,0,1
1544569012832,1101,HTTP Request,200,OK,events 2-1,text,true,,38400,925,1,4,http://localhost:8000/organiser/1/events,1099,0,1
1544569013934,1148,HTTP Request,200,OK,events 2-1,text,true,,38400,929,1,4,http://localhost:8000/organiser/1/events,1146,0,0
1544569015083,1135,HTTP Request,200,OK,events 2-1,text,true,,38402,929,1,4,http://localhost:8000/organiser/1/events,1132,0,0
1544569016218,1134,HTTP Request,200,OK,events 2-1,text,true,,38404,931,1,4,http://localhost:8000/organiser/1/events,1132,0,1
1544569017352,1101,HTTP Request,200,OK,events 2-1,text,true,,38398,933,1,4,http://localhost:8000/organiser/1/events,1099,0,1
1544569018453,1100,HTTP Request,200,OK,events 2-1,text,true,,38402,927,1,4,http://localhost:8000/organiser/1/events,1096,0,1
1544569019554,1182,HTTP Request,200,OK,events 2-1,text,true,,38398,931,1,4,http://localhost:8000/organiser/1/events,1179,0,13
1544569020736,1142,HTTP Request,200,OK,events 2-1,text,true,,38398,927,1,4,http://localhost:8000/organiser/1/events,1140,0,1
1544569021879,1243,HTTP Request,200,OK,events 2-1,text,true,,38398,927,1,4,http://localhost:8000/organiser/1/events,1240,0,0
1544569023122,1222,HTTP Request,200,OK,events 2-1,text,true,,38406,927,1,4,http://localhost:8000/organiser/1/events,1220,0,1
1544569024344,1128,HTTP Request,200,OK,events 2-1,text,true,,38402,935,1,4,http://localhost:8000/organiser/1/events,1126,0,1
1544569025473,1330,HTTP Request,200,OK,events 2-1,text,true,,38402,931,1,4,http://localhost:8000/organiser/1/events,1328,0,0
1544569026804,1138,HTTP Request,200,OK,events 2-1,text,true,,38402,931,1,4,http://localhost:8000/organiser/1/events,1136,0,0
1544569027943,1273,HTTP Request,200,OK,events 2-1,text,true,,38404,931,1,4,http://localhost:8000/organiser/1/events,1270,0,0
1544569029217,1122,HTTP Request,200,OK,events 2-1,text,true,,38400,933,1,4,http://localhost:8000/organiser/1/events,1120,0,1
1544569030339,1104,HTTP Request,200,OK,events 2-1,text,true,,38400,929,1,4,http://localhost:8000/organiser/1/events,1102,0,1
1544569031444,1104,HTTP Request,200,OK,events 2-1,text,true,,38404,929,1,4,http://localhost:8000/organiser/1/events,1101,0,1
1544569032549,1111,HTTP Request,200,OK,events 2-1,text,true,,38402,933,1,4,http://localhost:8000/organiser/1/events,1109,0,0
1544569033661,1088,HTTP Request,200,OK,events 2-1,text,true,,38404,931,1,4,http://localhost:8000/organiser/1/events,1085,0,0
1544569034749,1120,HTTP Request,200,OK,events 2-1,text,true,,38406,933,1,4,http://localhost:8000/organiser/1/events,1118,0,1
1544569035869,1136,HTTP Request,200,OK,events 2-1,text,true,,38406,935,1,4,http://localhost:8000/organiser/1/events,1134,0,1
1544569037005,1107,HTTP Request,200,OK,events 2-1,text,true,,38404,935,1,4,http://localhost:8000/organiser/1/events,1105,0,1
1544569038113,1077,HTTP Request,200,OK,events 2-1,text,true,,38398,933,1,4,http://localhost:8000/organiser/1/events,1075,0,1
1544569039191,1129,HTTP Request,200,OK,events 2-1,text,true,,38404,927,1,4,http://localhost:8000/organiser/1/events,1127,0,1
1544569040320,1098,HTTP Request,200,OK,events 2-1,text,true,,38402,933,1,4,http://localhost:8000/organiser/1/events,1096,0,1
1544569041419,1094,HTTP Request,200,OK,events 2-1,text,true,,38398,931,1,4,http://localhost:8000/organiser/1/events,1092,0,0
1544569042513,1118,HTTP Request,200,OK,events 2-1,text,true,,38398,927,1,4,http://localhost:8000/organiser/1/events,1116,0,1
1544569043631,1117,HTTP Request,200,OK,events 2-1,text,true,,38408,927,1,4,http://localhost:8000/organiser/1/events,1114,0,1
1544569044748,1314,HTTP Request,200,OK,events 2-1,text,true,,38400,937,1,4,http://localhost:8000/organiser/1/events,1310,0,1
1544569046063,1184,HTTP Request,200,OK,events 2-1,text,true,,38402,929,1,4,http://localhost:8000/organiser/1/events,1182,0,1
