timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1544568966333,299,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34772,413,1,4,http://localhost:8000/event/2/dashboard,297,0,1
1544568966633,1144,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34778,936,1,4,http://localhost:8000/event/2/dashboard,1143,0,0
1544568967778,1197,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34778,942,1,4,http://localhost:8000/event/2/dashboard,1196,0,1
1544568968976,1165,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34774,942,1,4,http://localhost:8000/event/2/dashboard,1163,0,0
1544568970142,1174,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34784,938,1,4,http://localhost:8000/event/2/dashboard,1172,0,0
1544568971316,1139,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34772,948,1,4,http://localhost:8000/event/2/dashboard,1137,0,1
1544568972455,1131,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34770,936,1,4,http://localhost:8000/event/2/dashboard,1129,0,1
1544568973587,1118,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34776,934,1,4,http://localhost:8000/event/2/dashboard,1116,0,1
1544568974705,1186,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34778,940,1,4,http://localhost:8000/event/2/dashboard,1184,0,1
1544568975892,1131,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34772,942,1,4,http://localhost:8000/event/2/dashboard,1129,0,0
1544568977023,1152,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34768,936,1,4,http://localhost:8000/event/2/dashboard,1151,0,1
1544568978176,1127,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34772,932,1,4,http://localhost:8000/event/2/dashboard,1125,0,0
1544568979303,1183,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34772,936,1,4,http://localhost:8000/event/2/dashboard,1181,0,1
1544568980486,1194,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34770,936,1,4,http://localhost:8000/event/2/dashboard,1192,0,1
1544568981680,1145,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34780,934,1,4,http://localhost:8000/event/2/dashboard,1143,0,1
1544568982826,1185,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34772,944,1,4,http://localhost:8000/event/2/dashboard,1183,0,0
1544568984012,1174,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34770,936,1,4,http://localhost:8000/event/2/dashboard,1173,0,0
1544568985187,1231,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34776,934,1,4,http://localhost:8000/event/2/dashboard,1230,0,0
1544568986419,1111,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34776,940,1,4,http://localhost:8000/event/2/dashboard,1109,0,1
1544568987530,1170,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34774,940,1,4,http://localhost:8000/event/2/dashboard,1169,0,1
1544568988701,1165,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34774,938,1,4,http://localhost:8000/event/2/dashboard,1163,0,0
1544568989867,1221,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34772,938,1,4,http://localhost:8000/event/2/dashboard,1219,0,0
1544568991089,1201,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34774,936,1,4,http://localhost:8000/event/2/dashboard,1199,0,1
1544568992290,1139,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34768,938,1,4,http://localhost:8000/event/2/dashboard,1137,0,1
1544568993429,1170,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34768,932,1,4,http://localhost:8000/event/2/dashboard,1168,0,1
1544568994599,1374,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34776,932,1,4,http://localhost:8000/event/2/dashboard,1372,0,1
1544568995974,1156,HTTP Request,200,OK,event_id_dashboard 3-1,text,true,,34778,940,1,4,http://localhost:8000/event/2/dashboard,1154,0,0
