timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1544569943162,1381,HTTP Request,500,Internal Server Error,dashboard 1-1,text,false,,1722,413,1,4,http://localhost:8000/organiser/1/dashboard,1370,0,4
1544569944543,2869,HTTP Request,200,OK,dashboard 1-1,text,true,,177582,413,1,4,http://localhost:8000/organiser/1/dashboard,2839,0,1
1544569947413,2873,HTTP Request,200,OK,dashboard 1-1,text,true,,177580,936,1,4,http://localhost:8000/organiser/1/dashboard,2844,0,1
1544569950287,2986,HTTP Request,200,OK,dashboard 1-1,text,true,,177582,934,1,4,http://localhost:8000/organiser/1/dashboard,2955,0,1
1544569953274,2914,HTTP Request,200,OK,dashboard 1-1,text,true,,177584,936,1,4,http://localhost:8000/organiser/1/dashboard,2879,0,0
1544569956189,2797,HTTP Request,200,OK,dashboard 1-1,text,true,,177584,938,1,4,http://localhost:8000/organiser/1/dashboard,2767,0,0
1544569958987,2833,HTTP Request,200,OK,dashboard 1-1,text,true,,177586,938,1,4,http://localhost:8000/organiser/1/dashboard,2802,0,1
1544569961820,2833,HTTP Request,200,OK,dashboard 1-1,text,true,,177588,940,1,4,http://localhost:8000/organiser/1/dashboard,2804,0,1
1544569964653,2823,HTTP Request,200,OK,dashboard 1-1,text,true,,177588,942,1,4,http://localhost:8000/organiser/1/dashboard,2794,0,1
1544569967477,2932,HTTP Request,200,OK,dashboard 1-1,text,true,,177582,942,1,4,http://localhost:8000/organiser/1/dashboard,2901,0,1
1544569970409,2848,HTTP Request,200,OK,dashboard 1-1,text,true,,177584,936,1,4,http://localhost:8000/organiser/1/dashboard,2819,0,1
1544569973258,2927,HTTP Request,200,OK,dashboard 1-1,text,true,,177584,938,1,4,http://localhost:8000/organiser/1/dashboard,2888,0,1
1544569976186,2966,HTTP Request,200,OK,dashboard 1-1,text,true,,177578,938,1,4,http://localhost:8000/organiser/1/dashboard,2936,0,0
1544569979153,2877,HTTP Request,200,OK,dashboard 1-1,text,true,,177584,932,1,4,http://localhost:8000/organiser/1/dashboard,2846,0,0
1544569982030,2845,HTTP Request,200,OK,dashboard 1-1,text,true,,177580,938,1,4,http://localhost:8000/organiser/1/dashboard,2815,0,1
1544569984876,2909,HTTP Request,200,OK,dashboard 1-1,text,true,,177584,934,1,4,http://localhost:8000/organiser/1/dashboard,2880,0,0
1544569987786,2825,HTTP Request,200,OK,dashboard 1-1,text,true,,177584,938,1,4,http://localhost:8000/organiser/1/dashboard,2796,0,0
1544569990612,2842,HTTP Request,200,OK,dashboard 1-1,text,true,,177584,938,1,4,http://localhost:8000/organiser/1/dashboard,2812,0,0
1544569993455,2839,HTTP Request,200,OK,dashboard 1-1,text,true,,177590,938,1,4,http://localhost:8000/organiser/1/dashboard,2808,0,0
1544569996295,2886,HTTP Request,200,OK,dashboard 1-1,text,true,,177580,944,1,4,http://localhost:8000/organiser/1/dashboard,2857,0,0
