timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1544569943164,2027,HTTP Request,200,OK,events 2-1,text,true,,38482,406,1,4,http://localhost:8000/organiser/1/events,2023,0,2
1544569945192,2836,HTTP Request,200,OK,events 2-1,text,true,,38486,931,1,4,http://localhost:8000/organiser/1/events,2830,0,1
1544569948028,2904,HTTP Request,200,OK,events 2-1,text,true,,38480,935,1,4,http://localhost:8000/organiser/1/events,2900,0,1
1544569950933,3029,HTTP Request,200,OK,events 2-1,text,true,,38482,929,1,4,http://localhost:8000/organiser/1/events,3025,0,0
1544569953963,2835,HTTP Request,200,OK,events 2-1,text,true,,38478,931,1,4,http://localhost:8000/organiser/1/events,2830,0,1
1544569956798,2805,HTTP Request,200,OK,events 2-1,text,true,,38480,927,1,4,http://localhost:8000/organiser/1/events,2801,0,1
1544569959604,2828,HTTP Request,200,OK,events 2-1,text,true,,38476,929,1,4,http://localhost:8000/organiser/1/events,2824,0,1
1544569962433,2868,HTTP Request,200,OK,events 2-1,text,true,,38478,925,1,4,http://localhost:8000/organiser/1/events,2863,0,0
1544569965301,2896,HTTP Request,200,OK,events 2-1,text,true,,38482,927,1,4,http://localhost:8000/organiser/1/events,2892,0,1
1544569968198,2838,HTTP Request,200,OK,events 2-1,text,true,,38482,931,1,4,http://localhost:8000/organiser/1/events,2833,0,1
1544569971036,2833,HTTP Request,200,OK,events 2-1,text,true,,38480,931,1,4,http://localhost:8000/organiser/1/events,2828,0,1
1544569973870,3040,HTTP Request,200,OK,events 2-1,text,true,,38478,929,1,4,http://localhost:8000/organiser/1/events,3035,0,0
1544569976911,2910,HTTP Request,200,OK,events 2-1,text,true,,38482,927,1,4,http://localhost:8000/organiser/1/events,2906,0,0
1544569979822,2851,HTTP Request,200,OK,events 2-1,text,true,,38478,931,1,4,http://localhost:8000/organiser/1/events,2846,0,0
1544569982674,2851,HTTP Request,200,OK,events 2-1,text,true,,38478,927,1,4,http://localhost:8000/organiser/1/events,2846,0,0
1544569985526,2881,HTTP Request,200,OK,events 2-1,text,true,,38482,927,1,4,http://localhost:8000/organiser/1/events,2877,0,0
1544569988408,2835,HTTP Request,200,OK,events 2-1,text,true,,38478,931,1,4,http://localhost:8000/organiser/1/events,2830,0,1
1544569991243,2857,HTTP Request,200,OK,events 2-1,text,true,,38478,927,1,4,http://localhost:8000/organiser/1/events,2852,0,1
1544569994100,2828,HTTP Request,200,OK,events 2-1,text,true,,38482,927,1,4,http://localhost:8000/organiser/1/events,2823,0,1
1544569996928,2891,HTTP Request,200,OK,events 2-1,text,true,,38482,931,1,4,http://localhost:8000/organiser/1/events,2886,0,1
1544569999819,2816,HTTP Request,200,OK,events 2-1,text,true,,38478,931,1,4,http://localhost:8000/organiser/1/events,2812,0,1
1544570002636,2804,HTTP Request,200,OK,events 2-1,text,true,,38476,927,1,4,http://localhost:8000/organiser/1/events,2799,0,0
1544570005440,2851,HTTP Request,200,OK,events 2-1,text,true,,38482,925,1,4,http://localhost:8000/organiser/1/events,2847,0,1
1544570008292,2801,HTTP Request,200,OK,events 2-1,text,true,,38488,931,1,4,http://localhost:8000/organiser/1/events,2796,0,1
1544570011093,2895,HTTP Request,200,OK,events 2-1,text,true,,38478,937,1,4,http://localhost:8000/organiser/1/events,2890,0,1
1544570013988,2801,HTTP Request,200,OK,events 2-1,text,true,,38478,927,1,4,http://localhost:8000/organiser/1/events,2796,0,1
1544570016789,2820,HTTP Request,200,OK,events 2-1,text,true,,38482,927,1,4,http://localhost:8000/organiser/1/events,2815,0,1
1544570019609,2807,HTTP Request,200,OK,events 2-1,text,true,,38480,931,1,4,http://localhost:8000/organiser/1/events,2802,0,1
1544570022417,2902,HTTP Request,200,OK,events 2-1,text,true,,38484,929,1,4,http://localhost:8000/organiser/1/events,2897,0,0
1544570025320,2819,HTTP Request,200,OK,events 2-1,text,true,,38492,933,1,4,http://localhost:8000/organiser/1/events,2815,0,0
1544570028140,3112,HTTP Request,200,OK,events 2-1,text,true,,38486,941,1,4,http://localhost:8000/organiser/1/events,3108,0,0
1544570031253,2825,HTTP Request,200,OK,events 2-1,text,true,,38486,935,1,4,http://localhost:8000/organiser/1/events,2818,0,0
1544570034079,2803,HTTP Request,200,OK,events 2-1,text,true,,38480,935,1,4,http://localhost:8000/organiser/1/events,2798,0,0
1544570036882,2775,HTTP Request,200,OK,events 2-1,text,true,,38488,929,1,4,http://localhost:8000/organiser/1/events,2771,0,1
1544570039658,2858,HTTP Request,200,OK,events 2-1,text,true,,38478,937,1,4,http://localhost:8000/organiser/1/events,2853,0,1
1544570042517,2850,HTTP Request,200,OK,events 2-1,text,true,,38478,927,1,4,http://localhost:8000/organiser/1/events,2845,0,0
