timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1544571401798,5823,HTTP Request,200,OK,components 3-1,text,true,,201587,412,1,4,http://localhost:8000/dashboard/components,5801,0,1
1544571407621,6349,HTTP Request,200,OK,components 3-1,text,true,,201595,674,1,4,http://localhost:8000/dashboard/components,6327,0,1
1544571413972,6323,HTTP Request,200,OK,components 3-1,text,true,,201587,682,1,4,http://localhost:8000/dashboard/components,6301,0,0
1544571420296,6635,HTTP Request,200,OK,components 3-1,text,true,,201589,674,1,4,http://localhost:8000/dashboard/components,6603,0,1
1544571426931,6602,HTTP Request,200,OK,components 3-1,text,true,,201589,676,1,4,http://localhost:8000/dashboard/components,6579,0,1
1544571433534,6218,HTTP Request,200,OK,components 3-1,text,true,,201591,676,1,4,http://localhost:8000/dashboard/components,6196,0,1
1544571439753,6181,HTTP Request,200,OK,components 3-1,text,true,,201595,678,1,4,http://localhost:8000/dashboard/components,6160,0,1
1544571445935,6258,HTTP Request,200,OK,components 3-1,text,true,,201589,682,1,4,http://localhost:8000/dashboard/components,6236,0,1
1544571452193,6233,HTTP Request,200,OK,components 3-1,text,true,,201589,676,1,4,http://localhost:8000/dashboard/components,6212,0,1
1544571458427,6466,HTTP Request,200,OK,components 3-1,text,true,,201591,676,1,4,http://localhost:8000/dashboard/components,6444,0,1
1544571464893,6328,HTTP Request,200,OK,components 3-1,text,true,,201589,678,1,4,http://localhost:8000/dashboard/components,6307,0,1
1544571471223,6795,HTTP Request,200,OK,components 3-1,text,true,,201589,676,1,4,http://localhost:8000/dashboard/components,6763,0,1
1544571478019,6432,HTTP Request,200,OK,components 3-1,text,true,,201589,676,1,4,http://localhost:8000/dashboard/components,6399,0,1
1544571484452,6627,HTTP Request,200,OK,components 3-1,text,true,,201587,676,1,4,http://localhost:8000/dashboard/components,6605,0,1
1544571491080,6324,HTTP Request,200,OK,components 3-1,text,true,,201587,674,1,4,http://localhost:8000/dashboard/components,6302,0,0
1544571497404,6395,HTTP Request,200,OK,components 3-1,text,true,,201595,674,1,4,http://localhost:8000/dashboard/components,6373,0,1
1544571503800,6392,HTTP Request,200,OK,components 3-1,text,true,,201587,682,1,4,http://localhost:8000/dashboard/components,6371,0,1
1544571510192,6323,HTTP Request,200,OK,components 3-1,text,true,,201589,674,1,4,http://localhost:8000/dashboard/components,6300,0,1
1544571516515,6290,HTTP Request,200,OK,components 3-1,text,true,,201589,676,1,4,http://localhost:8000/dashboard/components,6269,0,1
1544571522806,6500,HTTP Request,200,OK,components 3-1,text,true,,201593,676,1,4,http://localhost:8000/dashboard/components,6477,0,1
1544571529306,6417,HTTP Request,200,OK,components 3-1,text,true,,201591,680,1,4,http://localhost:8000/dashboard/components,6395,0,1
1544571535724,6510,HTTP Request,200,OK,components 3-1,text,true,,201587,678,1,4,http://localhost:8000/dashboard/components,6487,0,1
1544571542234,6635,HTTP Request,200,OK,components 3-1,text,true,,201589,674,1,4,http://localhost:8000/dashboard/components,6613,0,1
1544571548870,6497,HTTP Request,200,OK,components 3-1,text,true,,201589,676,1,4,http://localhost:8000/dashboard/components,6475,0,1
1544571555367,6528,HTTP Request,200,OK,components 3-1,text,true,,201591,676,1,4,http://localhost:8000/dashboard/components,6505,0,1
1544571561896,6291,HTTP Request,200,OK,components 3-1,text,true,,201591,678,1,4,http://localhost:8000/dashboard/components,6269,0,0
1544571568188,6334,HTTP Request,200,OK,components 3-1,text,true,,201589,678,1,4,http://localhost:8000/dashboard/components,6312,0,1
1544571574523,6294,HTTP Request,200,OK,components 3-1,text,true,,201589,676,1,4,http://localhost:8000/dashboard/components,6273,0,1
1544571580817,6337,HTTP Request,200,OK,components 3-1,text,true,,201587,676,1,4,http://localhost:8000/dashboard/components,6300,0,1
1544571587155,6400,HTTP Request,200,OK,components 3-1,text,true,,201589,674,1,4,http://localhost:8000/dashboard/components,6378,0,1
1544571593556,6265,HTTP Request,200,OK,components 3-1,text,true,,201591,676,1,4,http://localhost:8000/dashboard/components,6243,0,1
1544571599822,6609,HTTP Request,200,OK,components 3-1,text,true,,201591,678,1,4,http://localhost:8000/dashboard/components,6584,0,0
1544571606430,6763,HTTP Request,200,OK,components 3-1,text,true,,201595,678,1,4,http://localhost:8000/dashboard/components,6742,0,1
1544571613194,6629,HTTP Request,200,OK,components 3-1,text,true,,201591,682,1,4,http://localhost:8000/dashboard/components,6608,0,1
1544571619825,6402,HTTP Request,200,OK,components 3-1,text,true,,201591,678,1,4,http://localhost:8000/dashboard/components,6380,0,1
1544571626226,6833,HTTP Request,200,OK,components 3-1,text,true,,201589,678,1,4,http://localhost:8000/dashboard/components,6807,0,1
1544571633061,6409,HTTP Request,200,OK,components 3-1,text,true,,201591,676,1,4,http://localhost:8000/dashboard/components,6387,0,1
1544571639470,6196,HTTP Request,200,OK,components 3-1,text,true,,201589,678,1,4,http://localhost:8000/dashboard/components,6174,0,1
1544571645667,6392,HTTP Request,200,OK,components 3-1,text,true,,201591,676,1,4,http://localhost:8000/dashboard/components,6369,0,1
1544571652060,6231,HTTP Request,200,OK,components 3-1,text,true,,201589,678,1,4,http://localhost:8000/dashboard/components,6209,0,1
1544571658292,6729,HTTP Request,200,OK,components 3-1,text,true,,201591,676,1,4,http://localhost:8000/dashboard/components,6703,0,1
1544571665022,6441,HTTP Request,200,OK,components 3-1,text,true,,201591,678,1,4,http://localhost:8000/dashboard/components,6413,0,0
1544571671463,6176,HTTP Request,200,OK,components 3-1,text,true,,201589,678,1,4,http://localhost:8000/dashboard/components,6154,0,2
1544571677638,6298,HTTP Request,200,OK,components 3-1,text,true,,201591,676,1,4,http://localhost:8000/dashboard/components,6275,0,1
