timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1544571401793,4522,HTTP Request,200,OK,dashboard 2-1,text,true,,368809,399,1,4,http://localhost:8000/dashboard,4512,0,1
1544571406314,6288,HTTP Request,200,OK,dashboard 2-1,text,true,,368813,663,1,4,http://localhost:8000/dashboard,6279,0,1
1544571412603,6377,HTTP Request,200,OK,dashboard 2-1,text,true,,368815,667,1,4,http://localhost:8000/dashboard,6368,0,1
1544571418981,6566,HTTP Request,200,OK,dashboard 2-1,text,true,,368809,669,1,4,http://localhost:8000/dashboard,6554,0,1
1544571425548,6665,HTTP Request,200,OK,dashboard 2-1,text,true,,368809,663,1,4,http://localhost:8000/dashboard,6656,0,0
1544571432214,6231,HTTP Request,200,OK,dashboard 2-1,text,true,,368811,663,1,4,http://localhost:8000/dashboard,6212,0,1
1544571438445,6195,HTTP Request,200,OK,dashboard 2-1,text,true,,368809,665,1,4,http://localhost:8000/dashboard,6186,0,1
1544571444641,6241,HTTP Request,200,OK,dashboard 2-1,text,true,,368809,663,1,4,http://localhost:8000/dashboard,6231,0,0
1544571450882,6247,HTTP Request,200,OK,dashboard 2-1,text,true,,368811,663,1,4,http://localhost:8000/dashboard,6238,0,1
1544571457130,6274,HTTP Request,200,OK,dashboard 2-1,text,true,,368815,665,1,4,http://localhost:8000/dashboard,6265,0,1
1544571463403,6347,HTTP Request,200,OK,dashboard 2-1,text,true,,368807,669,1,4,http://localhost:8000/dashboard,6338,0,1
1544571469752,6923,HTTP Request,200,OK,dashboard 2-1,text,true,,368807,661,1,4,http://localhost:8000/dashboard,6913,0,1
1544571476675,6410,HTTP Request,200,OK,dashboard 2-1,text,true,,368809,661,1,4,http://localhost:8000/dashboard,6401,0,1
1544571483086,6682,HTTP Request,200,OK,dashboard 2-1,text,true,,368811,663,1,4,http://localhost:8000/dashboard,6672,0,1
1544571489768,6350,HTTP Request,200,OK,dashboard 2-1,text,true,,368807,665,1,4,http://localhost:8000/dashboard,6337,0,1
1544571496119,6350,HTTP Request,200,OK,dashboard 2-1,text,true,,368809,661,1,4,http://localhost:8000/dashboard,6340,0,0
1544571502470,6422,HTTP Request,200,OK,dashboard 2-1,text,true,,368811,663,1,4,http://localhost:8000/dashboard,6413,0,1
1544571508893,6316,HTTP Request,200,OK,dashboard 2-1,text,true,,368809,665,1,4,http://localhost:8000/dashboard,6307,0,0
1544571515209,6303,HTTP Request,200,OK,dashboard 2-1,text,true,,368811,663,1,4,http://localhost:8000/dashboard,6294,0,1
1544571521513,6468,HTTP Request,200,OK,dashboard 2-1,text,true,,368811,665,1,4,http://localhost:8000/dashboard,6459,0,0
1544571527982,6412,HTTP Request,200,OK,dashboard 2-1,text,true,,368809,665,1,4,http://localhost:8000/dashboard,6403,0,0
