timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1544574783841,2913,HTTP Request,200,OK,dashboard 2-1,text,true,,366114,401,1,4,http://localhost:8000/dashboard,2905,0,5
1544574786754,3630,HTTP Request,200,OK,dashboard 2-1,text,true,,366114,663,1,4,http://localhost:8000/dashboard,3622,0,0
1544574790385,3584,HTTP Request,200,OK,dashboard 2-1,text,true,,366118,663,1,4,http://localhost:8000/dashboard,3576,0,0
1544574793970,3120,HTTP Request,200,OK,dashboard 2-1,text,true,,366118,667,1,4,http://localhost:8000/dashboard,3112,0,0
1544574797091,3242,HTTP Request,200,OK,dashboard 2-1,text,true,,366122,667,1,4,http://localhost:8000/dashboard,3233,0,1
1544574800333,3289,HTTP Request,200,OK,dashboard 2-1,text,true,,366116,671,1,4,http://localhost:8000/dashboard,3280,0,1
1544574803622,3179,HTTP Request,200,OK,dashboard 2-1,text,true,,366116,665,1,4,http://localhost:8000/dashboard,3170,0,1
1544574806801,3626,HTTP Request,200,OK,dashboard 2-1,text,true,,366116,665,1,4,http://localhost:8000/dashboard,3617,0,0
1544574810427,3251,HTTP Request,200,OK,dashboard 2-1,text,true,,366118,665,1,4,http://localhost:8000/dashboard,3243,0,1
1544574813679,3319,HTTP Request,200,OK,dashboard 2-1,text,true,,366118,667,1,4,http://localhost:8000/dashboard,3311,0,0
1544574816999,3226,HTTP Request,200,OK,dashboard 2-1,text,true,,366114,667,1,4,http://localhost:8000/dashboard,3217,0,0
1544574820225,3177,HTTP Request,200,OK,dashboard 2-1,text,true,,366114,663,1,4,http://localhost:8000/dashboard,3169,0,1
1544574823403,3181,HTTP Request,200,OK,dashboard 2-1,text,true,,366120,663,1,4,http://localhost:8000/dashboard,3158,0,0
1544574826584,3187,HTTP Request,200,OK,dashboard 2-1,text,true,,366116,669,1,4,http://localhost:8000/dashboard,3164,0,1
1544574829772,3265,HTTP Request,200,OK,dashboard 2-1,text,true,,366116,665,1,4,http://localhost:8000/dashboard,3242,0,0
1544574833038,3198,HTTP Request,200,OK,dashboard 2-1,text,true,,366116,665,1,4,http://localhost:8000/dashboard,3191,0,0
1544574836236,3186,HTTP Request,200,OK,dashboard 2-1,text,true,,366114,665,1,4,http://localhost:8000/dashboard,3148,0,0
1544574839423,3570,HTTP Request,200,OK,dashboard 2-1,text,true,,366116,663,1,4,http://localhost:8000/dashboard,3562,0,1
1544574842994,3214,HTTP Request,200,OK,dashboard 2-1,text,true,,366118,665,1,4,http://localhost:8000/dashboard,3204,0,1
1544574846208,3138,HTTP Request,200,OK,dashboard 2-1,text,true,,366118,667,1,4,http://localhost:8000/dashboard,3130,0,1
1544574849346,3209,HTTP Request,200,OK,dashboard 2-1,text,true,,366116,667,1,4,http://localhost:8000/dashboard,3198,0,1
1544574852555,3150,HTTP Request,200,OK,dashboard 2-1,text,true,,366122,665,1,4,http://localhost:8000/dashboard,3141,0,1
1544574855705,3138,HTTP Request,200,OK,dashboard 2-1,text,true,,366116,671,1,4,http://localhost:8000/dashboard,3130,0,1
1544574858844,3162,HTTP Request,200,OK,dashboard 2-1,text,true,,366116,665,1,4,http://localhost:8000/dashboard,3154,0,0
1544574862007,3126,HTTP Request,200,OK,dashboard 2-1,text,true,,366116,665,1,4,http://localhost:8000/dashboard,3118,0,0
1544574865133,3383,HTTP Request,200,OK,dashboard 2-1,text,true,,366118,665,1,4,http://localhost:8000/dashboard,3375,0,1
1544574868516,3709,HTTP Request,200,OK,dashboard 2-1,text,true,,366114,667,1,4,http://localhost:8000/dashboard,3621,0,1
1544574872226,3423,HTTP Request,200,OK,dashboard 2-1,text,true,,366118,663,1,4,http://localhost:8000/dashboard,3415,0,1
1544574875650,3570,HTTP Request,200,OK,dashboard 2-1,text,true,,366114,667,1,4,http://localhost:8000/dashboard,3561,0,0
1544574879220,3537,HTTP Request,200,OK,dashboard 2-1,text,true,,366116,663,1,4,http://localhost:8000/dashboard,3529,0,1
