timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1544571401786,2898,HTTP Request,200,OK,homepage 1-1,text,true,,707853,390,1,4,http://localhost:8000/,2887,0,1
1544571404684,6294,HTTP Request,200,OK,homepage 1-1,text,true,,707857,652,1,4,http://localhost:8000/,6280,0,0
1544571410980,6353,HTTP Request,200,OK,homepage 1-1,text,true,,707857,656,1,4,http://localhost:8000/,6341,0,1
1544571417334,6526,HTTP Request,200,OK,homepage 1-1,text,true,,707859,656,1,4,http://localhost:8000/,6515,0,2
1544571423861,6680,HTTP Request,200,OK,homepage 1-1,text,true,,707853,658,1,4,http://localhost:8000/,6669,0,1
1544571430541,6294,HTTP Request,200,OK,homepage 1-1,text,true,,707857,652,1,4,http://localhost:8000/,6283,0,1
1544571436836,6215,HTTP Request,200,OK,homepage 1-1,text,true,,707855,656,1,4,http://localhost:8000/,6204,0,0
1544571443052,6246,HTTP Request,200,OK,homepage 1-1,text,true,,707853,654,1,4,http://localhost:8000/,6235,0,0
1544571449299,6215,HTTP Request,200,OK,homepage 1-1,text,true,,707853,652,1,4,http://localhost:8000/,6204,0,1
1544571455515,6271,HTTP Request,200,OK,homepage 1-1,text,true,,707855,652,1,4,http://localhost:8000/,6260,0,0
1544571461787,6375,HTTP Request,200,OK,homepage 1-1,text,true,,707853,654,1,4,http://localhost:8000/,6365,0,1
1544571468163,6600,HTTP Request,200,OK,homepage 1-1,text,true,,707853,652,1,4,http://localhost:8000/,6588,0,1
1544571474764,6651,HTTP Request,200,OK,homepage 1-1,text,true,,707853,652,1,4,http://localhost:8000/,6641,0,1
1544571481416,6697,HTTP Request,200,OK,homepage 1-1,text,true,,707857,652,1,4,http://localhost:8000/,6681,0,2
1544571488114,6268,HTTP Request,200,OK,homepage 1-1,text,true,,707855,656,1,4,http://localhost:8000/,6257,0,1
1544571494383,6448,HTTP Request,200,OK,homepage 1-1,text,true,,707861,654,1,4,http://localhost:8000/,6437,0,0
1544571500832,6390,HTTP Request,200,OK,homepage 1-1,text,true,,707857,660,1,4,http://localhost:8000/,6379,0,0
1544571507223,6392,HTTP Request,200,OK,homepage 1-1,text,true,,707855,656,1,4,http://localhost:8000/,6371,0,0
1544571513616,6249,HTTP Request,200,OK,homepage 1-1,text,true,,707857,654,1,4,http://localhost:8000/,6237,0,1
