timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1544571401808,6535,HTTP Request,200,OK,incidents 4-1,text,true,,230353,409,1,4,http://localhost:8000/dashboard/incidents,6527,0,1
1544571408344,6382,HTTP Request,200,OK,incidents 4-1,text,true,,230359,673,1,4,http://localhost:8000/dashboard/incidents,6368,0,1
1544571414727,6324,HTTP Request,200,OK,incidents 4-1,text,true,,230353,679,1,4,http://localhost:8000/dashboard/incidents,6314,0,0
1544571421052,6635,HTTP Request,200,OK,incidents 4-1,text,true,,230353,673,1,4,http://localhost:8000/dashboard/incidents,6625,0,1
1544571427688,6556,HTTP Request,200,OK,incidents 4-1,text,true,,230359,673,1,4,http://localhost:8000/dashboard/incidents,6547,0,1
1544571434245,6187,HTTP Request,200,OK,incidents 4-1,text,true,,230351,679,1,4,http://localhost:8000/dashboard/incidents,6178,0,1
1544571440433,6211,HTTP Request,200,OK,incidents 4-1,text,true,,230353,671,1,4,http://localhost:8000/dashboard/incidents,6202,0,1
1544571446645,6251,HTTP Request,200,OK,incidents 4-1,text,true,,230355,673,1,4,http://localhost:8000/dashboard/incidents,6242,0,1
1544571452897,6315,HTTP Request,200,OK,incidents 4-1,text,true,,230351,675,1,4,http://localhost:8000/dashboard/incidents,6306,0,1
1544571459212,6359,HTTP Request,200,OK,incidents 4-1,text,true,,230351,671,1,4,http://localhost:8000/dashboard/incidents,6351,0,1
1544571465571,6481,HTTP Request,200,OK,incidents 4-1,text,true,,230353,671,1,4,http://localhost:8000/dashboard/incidents,6472,0,0
1544571472054,6704,HTTP Request,200,OK,incidents 4-1,text,true,,230355,673,1,4,http://localhost:8000/dashboard/incidents,6693,0,0
1544571478759,6467,HTTP Request,200,OK,incidents 4-1,text,true,,230351,675,1,4,http://localhost:8000/dashboard/incidents,6456,0,1
1544571485227,6544,HTTP Request,200,OK,incidents 4-1,text,true,,230351,671,1,4,http://localhost:8000/dashboard/incidents,6535,0,1
1544571491771,6406,HTTP Request,200,OK,incidents 4-1,text,true,,230353,671,1,4,http://localhost:8000/dashboard/incidents,6398,0,1
1544571498178,6318,HTTP Request,200,OK,incidents 4-1,text,true,,230351,673,1,4,http://localhost:8000/dashboard/incidents,6309,0,1
1544571504497,6367,HTTP Request,200,OK,incidents 4-1,text,true,,230355,671,1,4,http://localhost:8000/dashboard/incidents,6359,0,1
1544571510865,6334,HTTP Request,200,OK,incidents 4-1,text,true,,230355,675,1,4,http://localhost:8000/dashboard/incidents,6326,0,1
1544571517200,6315,HTTP Request,200,OK,incidents 4-1,text,true,,230355,675,1,4,http://localhost:8000/dashboard/incidents,6306,0,1
1544571523516,6503,HTTP Request,200,OK,incidents 4-1,text,true,,230353,675,1,4,http://localhost:8000/dashboard/incidents,6491,0,0
1544571530020,6416,HTTP Request,200,OK,incidents 4-1,text,true,,230351,673,1,4,http://localhost:8000/dashboard/incidents,6407,0,1
1544571536437,6545,HTTP Request,200,OK,incidents 4-1,text,true,,230353,671,1,4,http://localhost:8000/dashboard/incidents,6533,0,1
