timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1544550316968,3375,HTTP Request,200,OK,Thread Group 2-1,text,true,,28278,399,1,2,http://localhost:8000/dashboard,,3368,UTF-8,1,0,DESKTOP-E2HF8O5,0,9
1544550320345,2028,HTTP Request,200,OK,Thread Group 2-1,text,true,,28276,665,1,2,http://localhost:8000/dashboard,,2021,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544550322374,1572,HTTP Request,200,OK,Thread Group 2-1,text,true,,28282,663,1,2,http://localhost:8000/dashboard,,1565,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544550323946,1930,HTTP Request,200,OK,Thread Group 2-1,text,true,,28278,669,1,2,http://localhost:8000/dashboard,,1915,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544550325878,2767,HTTP Request,200,OK,Thread Group 2-1,text,true,,28282,665,1,2,http://localhost:8000/dashboard,,2758,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544550328646,2510,HTTP Request,200,OK,Thread Group 2-1,text,true,,28276,669,1,2,http://localhost:8000/dashboard,,2503,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544550331157,2280,HTTP Request,200,OK,Thread Group 2-1,text,true,,28276,663,1,2,http://localhost:8000/dashboard,,2264,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544550333440,1702,HTTP Request,200,OK,Thread Group 2-1,text,true,,28276,663,1,2,http://localhost:8000/dashboard,,1695,UTF-8,1,0,DESKTOP-E2HF8O5,0,2
1544550335143,2522,HTTP Request,200,OK,Thread Group 2-1,text,true,,28278,663,1,2,http://localhost:8000/dashboard,,2506,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544550337667,2339,HTTP Request,200,OK,Thread Group 2-1,text,true,,28276,665,1,2,http://localhost:8000/dashboard,,2332,UTF-8,1,0,DESKTOP-E2HF8O5,0,2
1544550340007,1984,HTTP Request,200,OK,Thread Group 2-1,text,true,,28276,663,1,2,http://localhost:8000/dashboard,,1977,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544550341992,1561,HTTP Request,200,OK,Thread Group 2-1,text,true,,28276,663,1,2,http://localhost:8000/dashboard,,1554,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544550343554,2212,HTTP Request,200,OK,Thread Group 2-1,text,true,,28278,663,1,2,http://localhost:8000/dashboard,,2196,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544550345768,1634,HTTP Request,200,OK,Thread Group 2-1,text,true,,28278,665,1,2,http://localhost:8000/dashboard,,1627,UTF-8,1,0,DESKTOP-E2HF8O5,0,2
1544550347403,2179,HTTP Request,200,OK,Thread Group 2-1,text,true,,28274,665,1,2,http://localhost:8000/dashboard,,2163,UTF-8,1,0,DESKTOP-E2HF8O5,0,2
1544550349583,2544,HTTP Request,200,OK,Thread Group 2-1,text,true,,28276,661,1,2,http://localhost:8000/dashboard,,2537,UTF-8,1,0,DESKTOP-E2HF8O5,0,2
1544550352128,2089,HTTP Request,200,OK,Thread Group 2-1,text,true,,28278,663,1,2,http://localhost:8000/dashboard,,2082,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544550354218,2724,HTTP Request,200,OK,Thread Group 2-1,text,true,,28276,665,1,2,http://localhost:8000/dashboard,,2708,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544550356945,2881,HTTP Request,200,OK,Thread Group 2-1,text,true,,28274,663,1,2,http://localhost:8000/dashboard,,2864,UTF-8,1,0,DESKTOP-E2HF8O5,0,2
1544550359829,2202,HTTP Request,200,OK,Thread Group 2-1,text,true,,28276,661,1,2,http://localhost:8000/dashboard,,2195,UTF-8,1,0,DESKTOP-E2HF8O5,0,2
1544550362032,2338,HTTP Request,200,OK,Thread Group 2-1,text,true,,28274,663,1,2,http://localhost:8000/dashboard,,2331,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544550364371,2712,HTTP Request,200,OK,Thread Group 2-1,text,true,,28276,661,1,2,http://localhost:8000/dashboard,,2692,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544550367085,2499,HTTP Request,200,OK,Thread Group 2-1,text,true,,28278,663,1,2,http://localhost:8000/dashboard,,2486,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544550369585,2003,HTTP Request,200,OK,Thread Group 2-1,text,true,,28278,665,1,2,http://localhost:8000/dashboard,,1992,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544550371590,2578,HTTP Request,200,OK,Thread Group 2-1,text,true,,28276,665,1,2,http://localhost:8000/dashboard,,2571,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544550374169,2661,HTTP Request,200,OK,Thread Group 2-1,text,true,,28278,663,1,2,http://localhost:8000/dashboard,,2648,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544550376832,2444,HTTP Request,200,OK,Thread Group 2-1,text,true,,28278,665,1,2,http://localhost:8000/dashboard,,2432,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544550379279,2769,HTTP Request,200,OK,Thread Group 2-1,text,true,,28274,665,1,2,http://localhost:8000/dashboard,,2754,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544550382050,2129,HTTP Request,200,OK,Thread Group 2-1,text,true,,28276,661,1,2,http://localhost:8000/dashboard,,2116,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544550384180,1764,HTTP Request,200,OK,Thread Group 2-1,text,true,,28276,663,1,2,http://localhost:8000/dashboard,,1751,UTF-8,1,0,DESKTOP-E2HF8O5,0,2
1544550385945,2835,HTTP Request,200,OK,Thread Group 2-1,text,true,,28278,663,1,2,http://localhost:8000/dashboard,,2821,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544550388781,2367,HTTP Request,200,OK,Thread Group 2-1,text,true,,28274,665,1,2,http://localhost:8000/dashboard,,2355,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544550391150,1666,HTTP Request,200,OK,Thread Group 2-1,text,true,,28278,661,1,2,http://localhost:8000/dashboard,,1658,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544550392816,2671,HTTP Request,200,OK,Thread Group 2-1,text,true,,28274,665,1,2,http://localhost:8000/dashboard,,2659,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544550395489,2625,HTTP Request,200,OK,Thread Group 2-1,text,true,,28274,661,1,2,http://localhost:8000/dashboard,,2617,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544550398115,2137,HTTP Request,200,OK,Thread Group 2-1,text,true,,28276,661,1,2,http://localhost:8000/dashboard,,2124,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544550400254,1904,HTTP Request,200,OK,Thread Group 2-1,text,true,,28276,663,1,2,http://localhost:8000/dashboard,,1897,UTF-8,1,0,DESKTOP-E2HF8O5,0,2
1544550402159,2350,HTTP Request,200,OK,Thread Group 2-1,text,true,,28278,663,1,2,http://localhost:8000/dashboard,,2342,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544550404510,2607,HTTP Request,200,OK,Thread Group 2-1,text,true,,28278,665,1,2,http://localhost:8000/dashboard,,2595,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544550407119,1915,HTTP Request,200,OK,Thread Group 2-1,text,true,,28278,665,1,2,http://localhost:8000/dashboard,,1901,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544550409034,2036,HTTP Request,200,OK,Thread Group 2-1,text,true,,28280,665,1,2,http://localhost:8000/dashboard,,2021,UTF-8,1,0,DESKTOP-E2HF8O5,0,2
1544550411071,2131,HTTP Request,200,OK,Thread Group 2-1,text,true,,28276,667,1,2,http://localhost:8000/dashboard,,2116,UTF-8,1,0,DESKTOP-E2HF8O5,0,2
1544550413204,1913,HTTP Request,200,OK,Thread Group 2-1,text,true,,28274,663,1,2,http://localhost:8000/dashboard,,1901,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544550415118,1943,HTTP Request,200,OK,Thread Group 2-1,text,true,,28276,661,1,2,http://localhost:8000/dashboard,,1932,UTF-8,1,0,DESKTOP-E2HF8O5,0,2
