timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1544565687075,491,HTTP Request,200,OK,Thread Group 2-1,text,true,,33817,397,1,1,http://localhost:8000/dashboard,,483,UTF-8,1,0,DESKTOP-E2HF8O5,0,28
1544565687567,385,HTTP Request,200,OK,Thread Group 2-1,text,true,,33817,920,1,1,http://localhost:8000/dashboard,,377,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544565687952,386,HTTP Request,200,OK,Thread Group 2-1,text,true,,33817,920,1,1,http://localhost:8000/dashboard,,379,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544565688338,381,HTTP Request,200,OK,Thread Group 2-1,text,true,,33815,920,1,1,http://localhost:8000/dashboard,,375,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544565688720,381,HTTP Request,200,OK,Thread Group 2-1,text,true,,33819,918,1,1,http://localhost:8000/dashboard,,372,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544565689102,375,HTTP Request,200,OK,Thread Group 2-1,text,true,,33819,922,1,1,http://localhost:8000/dashboard,,369,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544565689478,373,HTTP Request,200,OK,Thread Group 2-1,text,true,,33823,922,1,1,http://localhost:8000/dashboard,,366,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544565689851,394,HTTP Request,200,OK,Thread Group 2-1,text,true,,33819,926,1,1,http://localhost:8000/dashboard,,387,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544565690245,386,HTTP Request,200,OK,Thread Group 2-1,text,true,,33819,922,1,1,http://localhost:8000/dashboard,,380,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544565690632,425,HTTP Request,200,OK,Thread Group 2-1,text,true,,33823,922,1,1,http://localhost:8000/dashboard,,419,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544565691057,367,HTTP Request,200,OK,Thread Group 2-1,text,true,,33815,926,1,1,http://localhost:8000/dashboard,,360,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544565691424,372,HTTP Request,200,OK,Thread Group 2-1,text,true,,33817,918,1,1,http://localhost:8000/dashboard,,365,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544565691796,399,HTTP Request,200,OK,Thread Group 2-1,text,true,,33819,920,1,1,http://localhost:8000/dashboard,,393,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544565692197,381,HTTP Request,200,OK,Thread Group 2-1,text,true,,33813,922,1,1,http://localhost:8000/dashboard,,374,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544565692578,376,HTTP Request,200,OK,Thread Group 2-1,text,true,,33821,916,1,1,http://localhost:8000/dashboard,,369,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544565692955,387,HTTP Request,200,OK,Thread Group 2-1,text,true,,33817,924,1,1,http://localhost:8000/dashboard,,381,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544565693343,392,HTTP Request,200,OK,Thread Group 2-1,text,true,,33815,920,1,1,http://localhost:8000/dashboard,,384,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544565693736,385,HTTP Request,200,OK,Thread Group 2-1,text,true,,33825,918,1,1,http://localhost:8000/dashboard,,376,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544565694121,401,HTTP Request,200,OK,Thread Group 2-1,text,true,,33819,928,1,1,http://localhost:8000/dashboard,,394,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544565694523,380,HTTP Request,200,OK,Thread Group 2-1,text,true,,33821,922,1,1,http://localhost:8000/dashboard,,374,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544565694904,392,HTTP Request,200,OK,Thread Group 2-1,text,true,,33819,924,1,1,http://localhost:8000/dashboard,,386,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544565695297,364,HTTP Request,200,OK,Thread Group 2-1,text,true,,33815,922,1,1,http://localhost:8000/dashboard,,358,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544565695662,383,HTTP Request,200,OK,Thread Group 2-1,text,true,,33823,918,1,1,http://localhost:8000/dashboard,,377,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544565696046,371,HTTP Request,200,OK,Thread Group 2-1,text,true,,33823,926,1,1,http://localhost:8000/dashboard,,365,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544565696418,380,HTTP Request,200,OK,Thread Group 2-1,text,true,,33819,926,1,1,http://localhost:8000/dashboard,,373,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544565696799,379,HTTP Request,200,OK,Thread Group 2-1,text,true,,33827,922,1,1,http://localhost:8000/dashboard,,373,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544565697179,368,HTTP Request,200,OK,Thread Group 2-1,text,true,,33821,930,1,1,http://localhost:8000/dashboard,,362,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544565697548,363,HTTP Request,200,OK,Thread Group 2-1,text,true,,33817,924,1,1,http://localhost:8000/dashboard,,357,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544565697911,392,HTTP Request,200,OK,Thread Group 2-1,text,true,,33825,920,1,1,http://localhost:8000/dashboard,,385,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544565698303,382,HTTP Request,200,OK,Thread Group 2-1,text,true,,33821,928,1,1,http://localhost:8000/dashboard,,376,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
